id,address,city,property_type,latitude,longitude,price,bedrooms,area_sqft,amenities,description
1,123 Main St,New York,Apartment,40.7128,-74.0060,500000,2,800,"gym,pool,doorman","Modern 2BR apartment with city views"
2,456 Oak Ave,Los Angeles,House,34.0522,-118.2437,750000,3,1500,"garage,garden,spacious","Family home with large backyard"
3,789 Pine Rd,Chicago,Apartment,41.8781,-87.6298,420000,1,650,"elevator,security,balcony","Cozy 1BR near transit"
4,321 Elm St,Houston,Townhouse,29.7604,-95.3698,600000,3,1200,"community pool,parking,pet-friendly","Townhouse in quiet neighborhood"
5,654 Maple Dr,Phoenix,Apartment,33.4484,-112.0740,380000,2,900,"gym,parking,ac","Sunny apartment with mountain views"
6,987 Cedar Ln,San Francisco,House,37.7749,-122.4194,1200000,4,2000,"renovated,view,garage","Victorian house with bay views"
7,111 Birch Blvd,Seattle,Apartment,47.6062,-122.3321,550000,2,850,"in-unit laundry,pet-friendly,close to transit","Modern apartment in Capitol Hill"
8,222 Willow Way,Denver,Townhouse,39.7392,-104.9903,480000,2,1000,"rooftop access,garage,close to downtown","Stylish townhouse near LoDo"
9,333 Cherry Ct,Miami,Apartment,25.7617,-80.1918,420000,1,600,"beach access,pool,concierge","Luxury apartment near South Beach"
10,444 Pineapple St,Austin,House,30.2672,-97.7431,550000,3,1300,"backyard,garage,modern kitchen","Family home in growing area"